Tipo de credito,Tasa de interes,Saldo del credito
Hipotecario,02 - 04,0
Hipotecario,04 - 06,0
Hipotecario,06 - 08,14
Hipotecario,08 - 10,30.8
Hipotecario,10 - 12,1.78
Hipotecario,12 - 14,0.36
Hipotecario,14 - 16,0
