Tipo de credito,Tasa de interes,Saldo del credito
Automotriz,0,1.21
Automotriz,00 - 02,0.37
Automotriz,02 - 04,0.26
Automotriz,04 - 06,0.91
Automotriz,06 - 08,3.1
Automotriz,08 - 10,21.21
Automotriz,10 - 12,20.25
Automotriz,12 - 14,24.14
Automotriz,14 - 16,18.58
Automotriz,16 - 18,8.19
Automotriz,18 - 20,1.1
Automotriz,20 - 22,0.43
Automotriz,22 - 24,0.17
Automotriz,24 - 26,0.01
Automotriz,26 - 28,0
